icao24,typecode
000001,AN2
000009,AAT3
0000c4,B734
000100,IL76
00015f,F16
000200,F15
0004fc,EUFI
0006ab,C152
000e28,EUFI
001000,SIRA
001245,EUFI
0013ab,EUFI
0015ec,EUFI
004000,AS32
004001,IL76
004002,B732
004003,B732
004004,B732
004006,BE20
00400c,B735
004013,E145
004014,B772
004016,C182
004017,E145
00401f,DC10
004020,DC86
004022,MD11
004024,MD11
004028,E145
004029,BE20
00402a,C210
00403a,E145
00405d,RV10
00405f,RV10
004061,FA7X
004064,BE20
00406e,E145
004079,RV10
00407d,BE20
00412d,B762
00415c,B762
006009,B732
00600a,DH8D
00600b,DH8D
00600c,E190
00600d,E190
006011,B735
006012,E145
006014,E145
006015,H25B
006016,B737
006019,E145
00601c,A139
00601e,CRJ2
00601f,DH8D
006022,E145
006023,B737
006024,A139
00602f,B350
006030,DH8D
006035,A139
006037,C295
00603a,E145
006100,ZZZZ
006101,ZZZZ
0071b4,A119
007761,MI8
007fed,AS32
00800a,H25B
008016,E120
00801b,J328
00801d,PRM1
008024,J328
00802a,AC11
00802b,BE10
008030,R44
008036,PIPA
008037,C208
008038,C208
008039,C208
008041,AS50
008045,SR22
008049,C501
00804c,PA34
008052,E135
008057,BE20
008058,CL30
00805d,C402
008064,BE36
00806e,C182
008071,BE20
008074,R44
008078,EC20
008079,B190
00807a,R66
008080,E190
008081,E190
008082,B38M
00808c,E190
008093,JU52
008095,C208
008096,C510
008097,PC6T
008098,JAB4
008099,C208
00809d,UH1
00809f,B429
0080a1,C182
0080a3,B733
0080a4,AT45
0080ab,T51
0080b3,C208
0080be,BE35
0080ca,SLG4
0080d2,BE9L
0080d6,R44
0080d7,EC30
0080dc,E135
0080e0,PA34
0080e1,C172
0080e6,C172
0080ec,AC50
0080f1,BE58
0080f5,P28A
0080fc,F900
0080fe,LJ45
008106,M20P
008109,BE58
00810a,T206
00810b,F406
00810d,D328
008111,C206
008118,P28U
008119,BE20
00811b,C680
00811f,E135
008125,E135
008126,A320
008128,BE36
008129,B190
00812a,SLG4
008131,R44
008132,BE9T
008133,C182
008134,BT36
008139,E135
00813a,E135
00813b,E135
00813c,E140
008140,E135
008142,B190
008145,R44
008148,BE36
008149,C208
00814a,B350
00814b,R44
00814c,AT72
008157,EN48
008158,C402
008159,BE35
00815b,PC12
008164,B407
008169,C208
00816b,AT8T
00817c,CL60
00817d,H25B
008187,B738
00818d,EC45
008190,H25B
008194,C208
008198,B222
0081a8,C182
0081a9,PC12
0081c9,B06
0081cb,LJ35
0081d1,C551
0081d3,S22T
0081d8,BE9L
0081db,C182
0081de,C208
0081e2,GLID
0081e5,R44
0081e6,BE20
0081ec,PA32
0081ef,A320
0081f0,EC30
0081f1,C441
0081f2,DC3
0081fb,RJ85
0081fc,RJ85
0081fd,RJ85
0081fe,RJ85
0081ff,L410
008200,L410
008201,L410
008202,L410
008203,L410
008204,L410
008205,L410
008207,L410
008208,L410
008209,L410
00820a,L410
00820b,PC12
00820c,L410
00820e,C208
008210,AT43
008211,L410
00821a,DC4
00822c,E135
00822e,BE35
008233,P28S
008234,C210
008235,C172
008239,PC12
00823b,C182
008244,SR22
00824d,C182
008252,B407
008256,J3
008262,C150
008267,C172
00827f,BE20
0082ab,C77R
0082b7,B06
0082be,SR22
0082c0,H25B
0082cc,A109
0082d1,E145
0082d2,E145
0082d5,H500
0082d6,E145
0082d7,E145
0082d8,E145
0082d9,E135
0082db,E145
0082e8,C182
0082ea,AT5T
0082f1,TBM8
0082f7,SR22
0082fc,C172
008302,C210
008305,FA10
008309,PRM1
00830b,R44
00830c,B407
00831a,AS50
00831f,R44
008321,R44
008322,BE58
008325,P46T
008329,PA31
00832f,SLG4
008330,SR22
008331,T6
008332,FA24
008334,BE9L
008337,UH1
008339,P28A
008348,BE36
00834a,P28A
00834b,E190
00834c,E190
00834d,E190
008351,CL60
008353,BE9L
008357,E135
00835a,BE35
008363,AC90
008364,BE20
008366,C303
008367,DH8C
008375,BE20
008378,E190
008390,B732
008396,C172
008397,SLG4
008398,P28B
00839e,AC50
0083a0,R44
0083a7,R44
0083ad,T206
0083af,R44
0083b2,PA12
0083b4,AS50
0083b7,R44
0083b8,PC24
0083bd,C172
0083c1,CRJ9
0083c2,GLID
0083c3,A320
0083cc,E135
0083d4,UH1
0083e8,BN2P
0083ec,C68A
0083f0,AC90
0083f2,BE55
0083f4,DC4
008400,GA8
008402,BE35
00842e,BE36
