ModelFullName,WTC,WTG,Designator,ManufacturerCode,AircraftDescription,EngineCount,EngineType
Dornier 328JET Envoy,M,G,J328,RUAG,LandPlane,2,Jet
3X-47 Ultra,L,G,UL45,3XTRIM,LandPlane,1,Piston
3X-LS Navigator 600,L,G,TR55,3XTRIM,LandPlane,1,Piston
Ellipse Spirit,L,G,ELSP,A2 CZ,LandPlane,1,Piston
Che-22 Pelican,L,G,CE22,HYDROPLANE,Amphibian,2,Piston
Pétrel,L,G,PETR,SMAN,Amphibian,1,Piston
Bushman,L,G,BMAN,AAK,LandPlane,1,Piston
Hornet,L,G,HRNT,AAK,LandPlane,1,Piston
Wasp,L,G,WSP,AAK,LandPlane,1,Piston
Flamingo,L,G,FMGO,AAK,LandPlane,1,Piston
A-9 Sparrow Commander,L,G,A9,NORTH AMERICAN ROCKWELL,LandPlane,1,Piston
Jetcruzer,L,G,JCRU,AASI,LandPlane,1,Turboprop/Turboshaft
Gazelle,L,G,GAZL,WESTLAND,Helicopter,1,Turboprop/Turboshaft
RF-9,L,G,RF9,GOMOLZIG,LandPlane,1,Piston
Xenon,L,G,XNON,CELIER,Gyrocopter,1,Piston
ACBA-10 Midour 3,L,G,MIDR,ACBA,LandPlane,1,Piston
Junior Ace,L,G,JACE,POBER,LandPlane,1,Piston
Super Ace,L,G,SACE,POBER,LandPlane,1,Piston
Cuby 2,L,G,CUB2,ACES HIGH,LandPlane,1,Piston
Super Acro-Sport,L,G,ACRO,EAA,LandPlane,1,Piston
Acro-Sport 2,L,G,ACR2,EAA,LandPlane,1,Piston
Cougar,L,G,COUG,NESMITH,LandPlane,1,Piston
ACS-100 Sora,L,G,SORA,ACS (1),LandPlane,1,Piston
Skyleader 600,L,G,J600,ZIGONG,LandPlane,1,Piston
T-211,L,G,T211,VENTURE,LandPlane,1,Piston
LCA Tejas,M,G,LCA,HINDUSTAN,LandPlane,1,Jet
BM-1 Super Loisirs,L,G,RA14,MARANDA,LandPlane,1,Piston
BM-3,L,G,RA17,MARANDA,LandPlane,1,Piston
A-500 CarbonAero,L,G,A500,ADAM (2),LandPlane,2,Piston
A-700 AdamJet,L,G,A700,ADAM (2),LandPlane,2,Jet
Buccaneer,L,G,BUCA,KEUTHAN,Amphibian,1,Piston
Turbine Rocket 421,L,G,C21T,RILEY,LandPlane,2,Turboprop/Turboshaft
P210 (turbine),L,G,C10T,CESSNA,LandPlane,1,Turboprop/Turboshaft
Adventurer,L,G,ADVN,ADVENTURE AIR,Amphibian,1,Piston
Explorer 500T,L,G,EX5T,EXPLORER (2),LandPlane,1,Turboprop/Turboshaft
Maverick,L,G,MAVR,AEA,LandPlane,1,Piston
AM-3 Bosbok,L,G,AM3,ATLAS,LandPlane,1,Piston
AMX,M,G,AMX,EMBRAER,LandPlane,1,Jet
G-222,M,E,G222,ALENIA,LandPlane,2,Turboprop/Turboshaft
Tornado,M,F,TOR,PANAVIA,LandPlane,2,Jet
AL-60,L,G,LA60,MACCHI,LandPlane,1,Piston
SF-260,L,G,F260,TAI,LandPlane,1,Piston
L-90TP Redigo,L,G,L90,VALMET,LandPlane,1,Turboprop/Turboshaft
MB-326,L,G,M326,MACCHI,LandPlane,1,Jet
MB-339,L,G,M339,ALENIA AERMACCHI,LandPlane,1,Jet
AL-60 Turbine Grizzly,L,G,LA6T,AERMACCHI,LandPlane,1,Turboprop/Turboshaft
RTAF-6,L,G,F26T,TAI THAILAND,LandPlane,1,Turboprop/Turboshaft
M-346 Master,M,G,M346,ALENIA AERMACCHI,LandPlane,2,Jet
500 Shrike Commander,L,G,AC50,ROCKWELL,LandPlane,2,Piston
Commander 520,L,G,AC52,AERO (1),LandPlane,2,Piston
560 Commander 560,L,G,AC56,AERO COMMANDER,LandPlane,2,Piston
680FP Commander 680FP,L,G,AC68,AERO COMMANDER,LandPlane,2,Piston
Commander 720 Alti Cruiser,L,G,AC72,AERO (1),LandPlane,2,Piston
Super Aero 145,L,G,AE45,LET,LandPlane,2,Piston
T-131 Jungmann,L,G,BU31,SSH,LandPlane,1,Piston
SBLiM-2,L,G,MG15,PZL-MIELEC,LandPlane,1,Jet
L-29 Delfin,L,G,L29,AERO (2),LandPlane,1,Jet
L-139 Albatros,L,G,L39,AERO (2),LandPlane,1,Jet
L-59,L,G,L59,AERO (2),LandPlane,1,Jet
K-60 Brigadyr,L,G,L60,ORLIČAN (1),LandPlane,1,Piston
L-159  Albatros 2,M,G,L159,AERO (2),LandPlane,1,Jet
Ae-270 Propjet,L,G,A270,IBIS (1),LandPlane,1,Turboprop/Turboshaft
G-700,L,G,AAT4,GOBOSH,LandPlane,1,Piston
AT-3,L,G,AAT3,AERO (3),LandPlane,1,Piston
P-220 Koala,L,G,P220,POTTIER,LandPlane,1,Piston
Aventura 2,L,G,AVTR,ARNET PEREYRA,Amphibian,1,Piston
Zephyr 2,L,G,ZEP2,KEUTHAN,LandPlane,1,Piston
AB-95,L,G,AB95,AERO BOERO,LandPlane,1,Piston
AB-115,L,G,AB11,AERO BOERO,LandPlane,1,Piston
AB-150,L,G,AB15,AERO BOERO,LandPlane,1,Piston
AB-180,L,G,AB18,AERO BOERO,LandPlane,1,Piston
Volaire 1050,L,G,VO10,VOLAIRCRAFT,LandPlane,1,Piston
200 Commander 200,L,G,M200,NORTH AMERICAN ROCKWELL,LandPlane,1,Piston
685 Commander 685,L,G,AC6L,ROCKWELL,LandPlane,2,Piston
681 Hawk Commander,L,G,AC80,NORTH AMERICAN ROCKWELL,LandPlane,2,Turboprop/Turboshaft
1121 Commodore Jet,M,G,JCOM,IAI,LandPlane,2,Jet
B-1 Snipe Commander,L,G,CLB1,NORTH AMERICAN ROCKWELL,LandPlane,1,Piston
S-2R-R1340 Trush 400,L,G,SS2P,THRUSH,LandPlane,1,Piston
